Violence_Score,Cigarette_Days,Alcohol_Days,Age_Numeric,Sex_Male
0.0,0.0,0.0,14,1
14.5,0.0,0.0,15,1
0.0,14.5,0.0,16,1
14.5,0.0,1.5,15,1
0.0,0.0,0.0,14,1
1.0,0.0,0.0,14,1
0.0,14.5,0.0,14,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,14,1
4.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
14.5,24.5,14.5,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
1.0,0.0,0.0,16,1
0.0,4.0,4.0,16,1
0.0,7.5,0.0,16,1
0.0,30.0,4.0,16,0
1.0,0.0,7.5,15,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,16,0
1.0,0.0,0.0,16,0
1.0,0.0,1.5,15,0
0.0,0.0,1.5,17,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,1
1.5,4.0,14.5,16,1
16.0,30.0,24.5,17,1
0.0,0.0,1.5,16,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,7.5,16,0
0.0,0.0,1.5,17,0
0.0,0.0,0.0,16,0
0.0,14.5,4.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,17,0
0.0,0.0,14.5,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,18,0
0.0,0.0,0.0,18,0
0.0,0.0,0.0,17,0
0.0,1.5,4.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,18,0
0.0,0.0,1.5,18,0
0.0,0.0,0.0,17,0
1.0,1.5,4.0,18,0
11.5,4.0,4.0,18,1
0.0,0.0,0.0,18,1
0.0,0.0,4.0,18,1
0.0,1.5,1.5,18,1
14.5,0.0,7.5,17,1
0.0,0.0,7.5,18,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,18,1
14.5,7.5,4.0,17,1
0.0,0.0,0.0,18,1
0.0,0.0,7.5,17,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,18,0
0.0,1.5,1.5,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,1.5,17,0
0.0,0.0,1.5,18,0
0.0,0.0,1.5,18,0
0.0,0.0,4.0,18,1
0.0,0.0,1.5,17,1
0.0,0.0,4.0,18,1
0.0,0.0,1.5,18,1
0.0,1.5,1.5,18,1
0.0,0.0,0.0,18,1
2.5,0.0,0.0,17,1
0.0,0.0,4.0,18,1
1.5,4.0,1.5,14,1
0.0,0.0,0.0,15,1
0.0,0.0,1.5,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
7.5,0.0,1.5,14,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,18,0
0.0,0.0,4.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,1.5,17,0
0.0,0.0,4.0,15,0
0.0,0.0,0.0,16,0
0.0,1.5,4.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
1.5,0.0,14.5,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,1
0.0,14.5,0.0,16,1
0.0,0.0,1.5,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,0
2.5,0.0,4.0,15,0
0.0,0.0,1.5,16,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,1
14.5,0.0,1.5,16,1
0.0,0.0,0.0,15,0
0.0,0.0,14.5,16,0
0.0,0.0,4.0,16,0
0.0,0.0,1.5,15,1
0.0,0.0,0.0,18,1
0.0,1.5,0.0,16,1
0.0,0.0,0.0,17,1
0.0,4.0,1.5,16,1
0.0,7.5,1.5,17,1
0.0,1.5,1.5,17,1
0.0,0.0,0.0,17,1
0.0,14.5,1.5,17,1
0.0,0.0,1.5,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,1.5,4.0,17,0
0.0,0.0,0.0,17,1
0.0,4.0,1.5,18,1
0.0,1.5,0.0,18,1
0.0,0.0,0.0,18,1
0.0,4.0,0.0,17,1
0.0,1.5,0.0,18,1
0.0,4.0,4.0,18,1
0.0,0.0,0.0,18,1
0.0,24.5,0.0,18,1
0.0,14.5,1.5,18,1
0.0,0.0,0.0,17,1
15.5,30.0,30.0,15,1
0.0,0.0,0.0,14,1
0.0,0.0,4.0,16,1
0.0,14.5,7.5,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,14,1
0.0,30.0,0.0,17,0
0.0,24.5,24.5,18,0
14.5,30.0,7.5,17,1
0.0,0.0,0.0,17,1
0.0,0.0,1.5,16,1
0.0,0.0,0.0,17,1
0.0,14.5,1.5,17,1
0.0,0.0,4.0,17,1
0.0,1.5,14.5,16,1
0.0,30.0,4.0,17,1
2.5,7.5,1.5,17,1
0.0,0.0,0.0,17,1
1.0,1.5,0.0,18,0
0.0,0.0,4.0,17,0
0.0,1.5,1.5,18,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,18,0
0.0,0.0,0.0,16,0
1.5,0.0,1.5,17,0
1.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,4.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
1.0,0.0,1.5,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,1
0.0,0.0,1.5,14,1
1.0,4.0,0.0,16,1
0.0,4.0,4.0,16,1
1.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,30.0,1.5,14,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,0
7.5,30.0,4.0,16,0
0.0,0.0,1.5,14,0
0.0,0.0,0.0,14,0
0.0,1.5,1.5,18,0
0.0,0.0,0.0,17,0
0.0,0.0,1.5,17,0
0.0,30.0,4.0,18,0
0.0,30.0,4.0,18,0
0.0,0.0,0.0,17,0
0.0,30.0,0.0,17,0
0.0,0.0,0.0,18,0
1.0,7.5,1.5,18,0
0.0,0.0,1.5,18,0
0.0,0.0,4.0,18,0
0.0,0.0,0.0,17,0
0.0,14.5,1.5,17,1
0.0,1.5,0.0,18,1
1.0,0.0,0.0,18,1
0.0,30.0,4.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,4.0,16,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,15,1
0.0,24.5,4.0,18,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,30.0,1.5,17,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,15,0
0.0,0.0,1.5,17,0
0.0,7.5,1.5,16,1
0.0,14.5,7.5,16,0
0.0,0.0,1.5,15,0
0.0,7.5,4.0,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,1
4.0,14.5,0.0,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,7.5,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,15,0
0.0,0.0,1.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,1.5,16,0
0.0,0.0,0.0,15,0
0.0,0.0,1.5,16,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,18,1
0.0,30.0,4.0,18,1
0.0,0.0,1.5,18,1
0.0,30.0,7.5,17,1
0.0,0.0,1.5,18,1
0.0,4.0,0.0,18,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,18,1
0.0,4.0,14.5,17,1
0.0,0.0,0.0,18,1
0.0,0.0,1.5,18,0
0.0,0.0,0.0,17,0
0.0,0.0,1.5,17,0
0.0,0.0,0.0,17,0
1.5,1.5,1.5,17,0
0.0,0.0,4.0,17,0
0.0,14.5,7.5,18,0
0.0,14.5,1.5,15,0
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,1.5,14,0
0.0,0.0,0.0,15,0
0.0,0.0,4.0,15,0
0.0,0.0,1.5,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,14.5,0.0,16,0
0.0,30.0,1.5,17,0
0.0,7.5,4.0,17,1
0.0,0.0,1.5,16,1
0.0,1.5,0.0,16,1
0.0,0.0,0.0,17,1
0.0,7.5,1.5,16,1
0.0,0.0,1.5,16,1
0.0,4.0,0.0,17,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,1
0.0,0.0,1.5,15,0
0.0,24.5,1.5,16,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,1
0.0,1.5,1.5,16,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
15.5,0.0,0.0,16,0
0.0,0.0,1.5,16,0
1.0,1.5,0.0,16,0
0.0,0.0,4.0,15,0
0.0,24.5,1.5,15,0
0.0,14.5,7.5,15,0
1.0,0.0,0.0,16,0
0.0,1.5,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,18,1
0.0,30.0,14.5,17,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,16,0
1.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,14.5,17,0
1.0,0.0,4.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,17,0
0.0,0.0,0.0,16,0
1.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,1
0.0,0.0,1.5,16,1
0.0,0.0,0.0,18,1
0.0,1.5,0.0,17,1
0.0,0.0,14.5,17,0
0.0,1.5,0.0,18,0
0.0,0.0,0.0,18,0
0.0,0.0,1.5,18,0
0.0,0.0,1.5,18,0
0.0,14.5,0.0,17,0
0.0,0.0,0.0,18,1
0.0,0.0,1.5,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,17,1
1.5,7.5,0.0,15,1
0.0,0.0,0.0,14,1
2.5,30.0,1.5,16,1
0.0,1.5,7.5,15,1
0.0,0.0,0.0,14,1
1.0,0.0,0.0,15,1
0.0,0.0,1.5,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,1.5,14,0
0.0,0.0,1.5,15,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,4.0,15,0
0.0,0.0,1.5,16,1
0.0,7.5,1.5,16,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
2.5,0.0,0.0,16,1
0.0,0.0,1.5,14,0
0.0,0.0,0.0,15,0
1.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,1.5,14,0
0.0,0.0,0.0,15,0
0.0,0.0,4.0,16,0
0.0,0.0,4.0,15,0
0.0,0.0,0.0,15,1
0.0,0.0,1.5,15,0
0.0,0.0,0.0,15,0
1.0,0.0,0.0,14,1
22.0,30.0,24.5,17,1
0.0,0.0,0.0,16,0
0.0,30.0,4.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,1.5,17,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,1
0.0,0.0,4.0,14,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,1
1.0,0.0,1.5,17,0
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,1
0.0,4.0,7.5,14,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,7.5,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,18,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
4.0,0.0,0.0,16,1
0.0,0.0,0.0,18,0
14.5,0.0,0.0,17,1
0.0,0.0,1.5,16,0
0.0,0.0,1.5,17,0
0.0,0.0,7.5,16,0
0.0,0.0,0.0,17,0
0.0,1.5,1.5,16,0
0.0,0.0,0.0,16,1
0.0,24.5,24.5,17,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
14.5,30.0,14.5,17,1
0.0,0.0,1.5,17,0
0.0,0.0,0.0,17,1
7.5,4.0,14.5,16,1
0.0,0.0,0.0,16,0
0.0,0.0,1.5,14,1
0.0,0.0,4.0,15,0
1.0,4.0,30.0,15,0
0.0,0.0,24.5,15,1
0.0,0.0,0.0,15,0
0.0,0.0,7.5,16,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,14,0
0.0,24.5,4.0,18,1
0.0,0.0,0.0,17,0
0.0,0.0,1.5,17,0
1.0,14.5,14.5,17,1
0.0,1.5,4.0,17,1
0.0,4.0,4.0,17,0
0.0,4.0,4.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,7.5,17,0
0.0,0.0,1.5,17,0
0.0,0.0,7.5,18,0
1.0,0.0,14.5,15,1
0.0,0.0,0.0,16,1
0.0,0.0,1.5,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,0
1.5,0.0,0.0,16,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,1
0.0,0.0,4.0,15,0
0.0,0.0,4.0,15,1
0.0,0.0,1.5,15,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,4.0,15,0
1.0,1.5,0.0,15,1
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,0
0.0,7.5,1.5,15,1
0.0,0.0,1.5,16,0
4.0,4.0,14.5,15,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,1.5,17,1
0.0,0.0,0.0,17,0
2.5,0.0,4.0,16,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,0
0.0,0.0,7.5,17,0
0.0,0.0,0.0,18,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,14.5,14.5,17,0
0.0,0.0,0.0,16,0
2.5,0.0,0.0,17,0
0.0,0.0,4.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,7.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,0.0,4.0,16,1
0.0,0.0,1.5,16,0
0.0,0.0,0.0,17,1
1.5,30.0,7.5,17,1
0.0,0.0,1.5,18,1
0.0,0.0,0.0,16,1
0.0,0.0,14.5,17,0
0.0,0.0,7.5,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,18,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,1
0.0,1.5,0.0,16,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,15,0
0.0,24.5,7.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,1
1.0,0.0,0.0,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,14,0
1.0,0.0,0.0,14,1
0.0,0.0,1.5,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,0
0.0,0.0,4.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,1.5,0.0,15,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,1.5,16,0
0.0,0.0,1.5,16,1
0.0,0.0,0.0,15,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,17,1
1.0,0.0,4.0,15,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,1
0.0,0.0,1.5,18,0
0.0,14.5,7.5,16,0
0.0,1.5,1.5,17,1
0.0,0.0,0.0,17,1
1.0,0.0,0.0,15,0
0.0,14.5,7.5,16,1
0.0,0.0,0.0,15,0
0.0,0.0,1.5,17,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,14.5,16,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
0.0,1.5,4.0,17,0
0.0,0.0,1.5,17,0
0.0,0.0,0.0,17,1
0.0,0.0,1.5,16,1
0.0,0.0,4.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,17,0
0.0,30.0,14.5,18,0
1.0,30.0,1.5,16,0
0.0,0.0,0.0,15,0
0.0,1.5,1.5,16,0
0.0,0.0,1.5,15,0
0.0,7.5,7.5,17,1
0.0,0.0,1.5,15,0
0.0,1.5,4.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,17,0
0.0,0.0,1.5,15,0
0.0,30.0,1.5,16,0
1.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,1.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,0
0.0,0.0,7.5,17,1
0.0,0.0,1.5,16,0
1.5,30.0,30.0,16,1
0.0,24.5,14.5,16,1
0.0,0.0,0.0,15,1
14.5,0.0,4.0,16,1
0.0,14.5,1.5,17,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,18,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,17,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,17,0
0.0,0.0,0.0,18,1
0.0,0.0,0.0,17,0
0.0,0.0,0.0,17,0
0.0,7.5,4.0,18,0
1.5,30.0,4.0,16,0
2.5,14.5,0.0,17,1
0.0,0.0,0.0,16,0
2.5,30.0,7.5,17,0
0.0,0.0,1.5,17,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,17,1
14.5,30.0,7.5,18,1
0.0,0.0,1.5,16,0
1.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,17,0
0.0,0.0,1.5,14,0
0.0,0.0,0.0,15,1
0.0,0.0,7.5,15,0
0.0,0.0,0.0,14,0
0.0,0.0,1.5,14,1
0.0,0.0,0.0,15,0
0.0,14.5,0.0,16,1
0.0,0.0,0.0,15,1
7.5,0.0,0.0,15,1
2.5,0.0,0.0,14,1
0.0,0.0,0.0,14,1
0.0,0.0,1.5,14,0
0.0,0.0,0.0,14,1
0.0,0.0,0.0,15,1
1.0,0.0,7.5,15,1
0.0,1.5,1.5,15,0
0.0,0.0,1.5,14,1
1.5,0.0,0.0,14,1
0.0,0.0,0.0,15,1
0.0,1.5,1.5,15,1
0.0,0.0,1.5,15,1
2.5,0.0,1.5,16,0
14.5,0.0,7.5,15,1
1.0,0.0,0.0,15,0
14.5,0.0,4.0,15,1
7.5,0.0,1.5,15,1
0.0,30.0,4.0,16,1
0.0,0.0,1.5,16,1
2.5,7.5,1.5,18,0
14.5,0.0,0.0,16,1
0.0,24.5,1.5,15,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,15,0
0.0,30.0,14.5,18,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,1
14.5,0.0,0.0,16,1
0.0,0.0,0.0,15,1
14.5,0.0,4.0,15,1
0.0,14.5,4.0,15,1
14.5,0.0,1.5,17,1
0.0,30.0,7.5,17,1
2.5,30.0,7.5,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,15,0
14.5,1.5,4.0,16,1
14.5,4.0,7.5,16,1
0.0,24.5,7.5,15,0
14.5,0.0,0.0,15,1
1.0,0.0,0.0,16,1
0.0,0.0,7.5,16,1
0.0,0.0,0.0,16,1
0.0,0.0,1.5,15,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,18,0
1.0,0.0,1.5,14,1
0.0,14.5,24.5,14,0
7.5,0.0,1.5,14,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,1
0.0,0.0,1.5,14,0
0.0,0.0,0.0,15,0
1.0,0.0,0.0,15,1
0.0,0.0,0.0,14,1
1.0,30.0,1.5,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,1
4.0,4.0,7.5,16,1
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,1
1.0,0.0,0.0,14,1
0.0,0.0,0.0,14,0
0.0,0.0,1.5,15,0
14.5,1.5,14.5,15,0
0.0,0.0,0.0,14,1
0.0,0.0,0.0,15,0
7.5,30.0,1.5,15,1
0.0,0.0,1.5,16,1
0.0,0.0,1.5,15,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,1.5,1.5,16,1
0.0,0.0,1.5,14,0
2.5,7.5,4.0,15,0
0.0,7.5,1.5,14,0
1.0,0.0,0.0,14,0
0.0,1.5,14.5,14,1
1.0,0.0,1.5,15,0
0.0,0.0,4.0,14,0
1.0,0.0,0.0,14,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,14,1
0.0,0.0,1.5,14,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,1
0.0,0.0,0.0,14,0
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,0
0.0,0.0,0.0,16,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,15,0
0.0,1.5,1.5,16,0
0.0,0.0,4.0,16,1
0.0,0.0,1.5,16,1
0.0,0.0,0.0,15,1
0.0,30.0,0.0,15,1
0.0,1.5,1.5,15,0
1.0,0.0,1.5,15,1
0.0,0.0,1.5,18,0
0.0,30.0,24.5,14,0
0.0,0.0,0.0,15,0
2.5,1.5,1.5,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,17,1
0.0,30.0,14.5,14,0
4.0,0.0,1.5,15,1
0.0,1.5,4.0,15,1
0.0,0.0,0.0,14,1
0.0,0.0,0.0,14,0
1.5,0.0,0.0,15,1
0.0,0.0,0.0,18,0
0.0,0.0,7.5,18,1
0.0,0.0,0.0,18,0
0.0,0.0,1.5,18,0
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,1.5,4.0,18,1
0.0,0.0,0.0,18,0
0.0,24.5,1.5,18,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,0
0.0,0.0,1.5,15,0
0.0,0.0,4.0,16,1
0.0,1.5,1.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,1
0.0,1.5,1.5,15,0
0.0,0.0,0.0,16,0
1.0,0.0,1.5,16,1
0.0,1.5,1.5,15,0
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,1.5,16,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,14,0
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,16,1
1.0,0.0,0.0,16,1
0.0,0.0,4.0,15,1
0.0,0.0,1.5,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,1
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,15,0
0.0,0.0,4.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,15,0
0.0,0.0,1.5,16,0
0.0,0.0,4.0,16,0
0.0,1.5,1.5,15,0
0.0,0.0,1.5,15,0
0.0,0.0,0.0,15,0
0.0,7.5,4.0,15,0
0.0,0.0,1.5,16,1
0.0,0.0,0.0,16,1
0.0,0.0,0.0,16,1
1.0,24.5,0.0,16,1
0.0,0.0,0.0,16,1
1.0,0.0,4.0,16,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,16,0
0.0,4.0,4.0,16,0
0.0,0.0,1.5,16,0
0.0,0.0,0.0,16,0
0.0,0.0,0.0,17,0
0.0,4.0,7.5,17,0
0.0,0.0,0.0,17,0
0.0,30.0,4.0,16,0
0.0,0.0,7.5,16,0
0.0,0.0,7.5,16,0
14.5,30.0,14.5,18,1
1.0,0.0,0.0,17,1
0.0,0.0,4.0,17,1
0.0,24.5,1.5,17,1
0.0,0.0,1.5,18,1
0.0,0.0,0.0,18,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,17,1
0.0,0.0,0.0,18,0
